"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23304","checkRunNodeFour","Surefire suite","2026-08-13","failed","2026-08-13","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeFour"
"","20449","checkRunNodeThree","Surefire suite","2026-08-13","failed","2026-08-13","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeThree"
"","25721","checkRunNodeZero","Surefire suite","2026-08-13","failed","2026-08-13","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeZero"
"","20575","checkRunNodeFive","Surefire suite","2026-08-13","failed","2026-08-13","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeFive"
"","20308","checkRunNodeSeven","Surefire suite","2026-08-13","failed","2026-08-13","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeSeven"
"","24538","checkRunNodeTwo","Surefire suite","2026-08-13","failed","2026-08-13","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeTwo"
"","20253","checkRunNodeNine","Surefire suite","2026-08-13","failed","2026-08-13","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeNine"
"","24110","checkRunNode","Surefire suite","2026-08-13","failed","2026-08-13","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNode"
"","24433","checkRunNodeSix","Surefire suite","2026-08-13","failed","2026-08-13","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeSix"
"","21133","checkRunNodeOne","Surefire suite","2026-08-13","failed","2026-08-13","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeOne"
