"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15343","checkRunNodeFive","Surefire suite","Fri May 15 04:37:50 UTC 2026","broken","Fri May 15 04:38:06 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeFive"
"","20397","checkRunNode","Surefire suite","Fri May 15 04:38:51 UTC 2026","failed","Fri May 15 04:39:11 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNode"
"","15962","checkRunNodeThree","Surefire suite","Fri May 15 04:37:13 UTC 2026","broken","Fri May 15 04:37:29 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeThree"
"","21792","checkRunNodeSix","Surefire suite","Fri May 15 04:38:06 UTC 2026","failed","Fri May 15 04:38:27 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeSix"
"","21024","checkRunNodeFour","Surefire suite","Fri May 15 04:37:29 UTC 2026","failed","Fri May 15 04:37:50 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeFour"
"","15936","checkRunNodeOne","Surefire suite","Fri May 15 04:36:36 UTC 2026","failed","Fri May 15 04:36:52 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeOne"
"","20865","checkRunNodeTwo","Surefire suite","Fri May 15 04:36:52 UTC 2026","failed","Fri May 15 04:37:13 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeTwo"
"","23446","checkRunNodeSeven","Surefire suite","Fri May 15 04:38:27 UTC 2026","failed","Fri May 15 04:38:51 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeSeven"
"","21792","checkRunNodeZero","Surefire suite","Fri May 15 04:36:15 UTC 2026","broken","Fri May 15 04:36:36 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeZero"
"","16409","checkRunNodeNine","Surefire suite","Fri May 15 04:39:11 UTC 2026","broken","Fri May 15 04:39:28 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeNine"
