"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14517","checkRunNodeSix","Surefire suite","Wed Nov 19 02:22:18 UTC 2025","broken","Wed Nov 19 02:22:32 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeSix"
"","15095","checkRunNodeFour","Surefire suite","Wed Nov 19 02:21:39 UTC 2025","broken","Wed Nov 19 02:21:55 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeFour"
"","21514","checkRunNodeNine","Surefire suite","Wed Nov 19 02:23:09 UTC 2025","failed","Wed Nov 19 02:23:31 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeNine"
"","15620","checkRunNode","Surefire suite","Wed Nov 19 02:22:54 UTC 2025","broken","Wed Nov 19 02:23:09 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNode"
"","23323","checkRunNodeFive","Surefire suite","Wed Nov 19 02:21:55 UTC 2025","failed","Wed Nov 19 02:22:18 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeFive"
"","21580","checkRunNodeOne","Surefire suite","Wed Nov 19 02:20:42 UTC 2025","failed","Wed Nov 19 02:21:04 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeOne"
"","14826","checkRunNodeTwo","Surefire suite","Wed Nov 19 02:21:04 UTC 2025","broken","Wed Nov 19 02:21:18 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeTwo"
"","21024","checkRunNodeThree","Surefire suite","Wed Nov 19 02:21:18 UTC 2025","failed","Wed Nov 19 02:21:39 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeThree"
"","21379","checkRunNodeSeven","Surefire suite","Wed Nov 19 02:22:32 UTC 2025","failed","Wed Nov 19 02:22:54 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeSeven"
"","16470","checkRunNodeZero","Surefire suite","Wed Nov 19 02:20:25 UTC 2025","broken","Wed Nov 19 02:20:42 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeZero"
