"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23083","checkRunNodeSix","Surefire suite","Sun Mar 15 03:43:30 UTC 2026","failed","Sun Mar 15 03:43:53 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeSix"
"","21285","checkRunNodeOne","Surefire suite","Sun Mar 15 03:41:53 UTC 2026","failed","Sun Mar 15 03:42:14 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeOne"
"","13426","checkRunNodeFour","Surefire suite","Sun Mar 15 03:42:53 UTC 2026","broken","Sun Mar 15 03:43:07 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeFour"
"","20775","checkRunNodeSeven","Surefire suite","Sun Mar 15 03:43:53 UTC 2026","failed","Sun Mar 15 03:44:13 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeSeven"
"","22694","checkRunNodeNine","Surefire suite","Sun Mar 15 03:44:37 UTC 2026","failed","Sun Mar 15 03:44:59 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeNine"
"","22904","checkRunNodeFive","Surefire suite","Sun Mar 15 03:43:07 UTC 2026","failed","Sun Mar 15 03:43:30 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeFive"
"","23299","checkRunNode","Surefire suite","Sun Mar 15 03:44:13 UTC 2026","failed","Sun Mar 15 03:44:37 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNode"
"","21527","checkRunNodeThree","Surefire suite","Sun Mar 15 03:42:32 UTC 2026","failed","Sun Mar 15 03:42:53 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeThree"
"","17217","checkRunNodeTwo","Surefire suite","Sun Mar 15 03:42:14 UTC 2026","broken","Sun Mar 15 03:42:32 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeTwo"
"","21266","checkRunNodeZero","Surefire suite","Sun Mar 15 03:41:32 UTC 2026","broken","Sun Mar 15 03:41:53 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeZero"
