"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14489","checkRunNodeFive","Surefire suite","Tue Jan 06 02:35:19 UTC 2026","broken","Tue Jan 06 02:35:33 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeFive"
"","21748","checkRunNodeFour","Surefire suite","Tue Jan 06 02:34:57 UTC 2026","failed","Tue Jan 06 02:35:19 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeFour"
"","21552","checkRunNode","Surefire suite","Tue Jan 06 02:36:17 UTC 2026","failed","Tue Jan 06 02:36:39 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNode"
"","23009","checkRunNodeSeven","Surefire suite","Tue Jan 06 02:35:54 UTC 2026","failed","Tue Jan 06 02:36:17 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeSeven"
"","15700","checkRunNodeZero","Surefire suite","Tue Jan 06 02:33:48 UTC 2026","broken","Tue Jan 06 02:34:04 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeZero"
"","15056","checkRunNodeNine","Surefire suite","Tue Jan 06 02:36:39 UTC 2026","broken","Tue Jan 06 02:36:54 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeNine"
"","21656","checkRunNodeTwo","Surefire suite","Tue Jan 06 02:34:20 UTC 2026","failed","Tue Jan 06 02:34:42 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeTwo"
"","15291","checkRunNodeThree","Surefire suite","Tue Jan 06 02:34:42 UTC 2026","broken","Tue Jan 06 02:34:57 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeThree"
"","15999","checkRunNodeOne","Surefire suite","Tue Jan 06 02:34:04 UTC 2026","failed","Tue Jan 06 02:34:20 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeOne"
"","21010","checkRunNodeSix","Surefire suite","Tue Jan 06 02:35:33 UTC 2026","failed","Tue Jan 06 02:35:54 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeSix"
