"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34881","checkRunNodeTwo","Surefire suite","Mon Oct 20 02:24:08 UTC 2025","failed","Mon Oct 20 02:24:43 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeTwo"
"","33546","checkRunNode","Surefire suite","Mon Oct 20 02:26:56 UTC 2025","failed","Mon Oct 20 02:27:29 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNode"
"","21104","checkRunNodeFive","Surefire suite","Mon Oct 20 02:25:38 UTC 2025","failed","Mon Oct 20 02:25:59 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeFive"
"","33742","checkRunNodeFour","Surefire suite","Mon Oct 20 02:25:04 UTC 2025","failed","Mon Oct 20 02:25:38 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeFour"
"","21320","checkRunNodeNine","Surefire suite","Mon Oct 20 02:27:29 UTC 2025","failed","Mon Oct 20 02:27:51 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeNine"
"","21445","checkRunNodeSeven","Surefire suite","Mon Oct 20 02:26:34 UTC 2025","failed","Mon Oct 20 02:26:56 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeSeven"
"","36479","checkRunNodeZero","Surefire suite","Mon Oct 20 02:23:10 UTC 2025","failed","Mon Oct 20 02:23:46 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeZero"
"","35349","checkRunNodeSix","Surefire suite","Mon Oct 20 02:25:59 UTC 2025","failed","Mon Oct 20 02:26:34 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeSix"
"","21125","checkRunNodeThree","Surefire suite","Mon Oct 20 02:24:43 UTC 2025","failed","Mon Oct 20 02:25:04 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeThree"
"","21679","checkRunNodeOne","Surefire suite","Mon Oct 20 02:23:46 UTC 2025","failed","Mon Oct 20 02:24:08 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeOne"
