"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14814","checkRunNode","Surefire suite","Mon Nov 24 02:32:11 UTC 2025","broken","Mon Nov 24 02:32:26 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNode"
"","15032","checkRunNodeSix","Surefire suite","Mon Nov 24 02:31:34 UTC 2025","broken","Mon Nov 24 02:31:49 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeSix"
"","15329","checkRunNodeTwo","Surefire suite","Mon Nov 24 02:30:19 UTC 2025","broken","Mon Nov 24 02:30:34 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeTwo"
"","21785","checkRunNodeNine","Surefire suite","Mon Nov 24 02:32:26 UTC 2025","failed","Mon Nov 24 02:32:48 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeNine"
"","15971","checkRunNodeZero","Surefire suite","Mon Nov 24 02:29:42 UTC 2025","broken","Mon Nov 24 02:29:58 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeZero"
"","22695","checkRunNodeThree","Surefire suite","Mon Nov 24 02:30:35 UTC 2025","failed","Mon Nov 24 02:30:57 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeThree"
"","22759","checkRunNodeSeven","Surefire suite","Mon Nov 24 02:31:49 UTC 2025","failed","Mon Nov 24 02:32:11 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeSeven"
"","14367","checkRunNodeFour","Surefire suite","Mon Nov 24 02:30:57 UTC 2025","broken","Mon Nov 24 02:31:12 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeFour"
"","21301","checkRunNodeOne","Surefire suite","Mon Nov 24 02:29:58 UTC 2025","failed","Mon Nov 24 02:30:19 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeOne"
"","22105","checkRunNodeFive","Surefire suite","Mon Nov 24 02:31:12 UTC 2025","failed","Mon Nov 24 02:31:34 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeFive"
