"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15281","checkRunNode","Surefire suite","2026-06-11","broken","2026-06-11","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNode"
"","16048","checkRunNodeZero","Surefire suite","2026-06-11","broken","2026-06-11","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeZero"
"","15457","checkRunNodeSix","Surefire suite","2026-06-11","broken","2026-06-11","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeSix"
"","21355","checkRunNodeOne","Surefire suite","2026-06-11","failed","2026-06-11","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeOne"
"","21025","checkRunNodeNine","Surefire suite","2026-06-11","failed","2026-06-11","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeNine"
"","21087","checkRunNodeSeven","Surefire suite","2026-06-11","failed","2026-06-11","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeSeven"
"","21619","checkRunNodeFive","Surefire suite","2026-06-11","failed","2026-06-11","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeFive"
"","24097","checkRunNodeTwo","Surefire suite","2026-06-11","failed","2026-06-11","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeTwo"
"","15735","checkRunNodeFour","Surefire suite","2026-06-11","broken","2026-06-11","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeFour"
"","22384","checkRunNodeThree","Surefire suite","2026-06-11","failed","2026-06-11","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeThree"
