"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21995","checkRunNode","Surefire suite","2026-06-19","failed","2026-06-19","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNode"
"","16040","checkRunNodeZero","Surefire suite","2026-06-19","broken","2026-06-19","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeZero"
"","21957","checkRunNodeSix","Surefire suite","2026-06-19","failed","2026-06-19","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeSix"
"","20944","checkRunNodeOne","Surefire suite","2026-06-19","failed","2026-06-19","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeOne"
"","22550","checkRunNodeThree","Surefire suite","2026-06-19","failed","2026-06-19","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeThree"
"","15708","checkRunNodeTwo","Surefire suite","2026-06-19","broken","2026-06-19","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeTwo"
"","16347","checkRunNodeFour","Surefire suite","2026-06-19","broken","2026-06-19","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeFour"
"","23449","checkRunNodeNine","Surefire suite","2026-06-19","failed","2026-06-19","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeNine"
"","16339","checkRunNodeSeven","Surefire suite","2026-06-19","broken","2026-06-19","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeSeven"
"","15554","checkRunNodeFive","Surefire suite","2026-06-19","failed","2026-06-19","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeFive"
