"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36662","checkRunNodeZero","Surefire suite","Thu Oct 02 03:31:46 UTC 2025","passed","Thu Oct 02 03:32:23 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeZero"
"","31321","checkRunNodeFour","Surefire suite","Thu Oct 02 03:33:34 UTC 2025","passed","Thu Oct 02 03:34:06 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeFour"
"","23035","checkRunNodeNine","Surefire suite","Thu Oct 02 03:35:47 UTC 2025","failed","Thu Oct 02 03:36:10 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeNine"
"","21189","checkRunNodeSeven","Surefire suite","Thu Oct 02 03:34:53 UTC 2025","failed","Thu Oct 02 03:35:15 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeSeven"
"","26756","checkRunNodeSix","Surefire suite","Thu Oct 02 03:34:27 UTC 2025","passed","Thu Oct 02 03:34:53 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeSix"
"","32808","checkRunNode","Surefire suite","Thu Oct 02 03:35:15 UTC 2025","failed","Thu Oct 02 03:35:47 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNode"
"","26901","checkRunNodeTwo","Surefire suite","Thu Oct 02 03:32:45 UTC 2025","passed","Thu Oct 02 03:33:12 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeTwo"
"","20897","checkRunNodeFive","Surefire suite","Thu Oct 02 03:34:06 UTC 2025","failed","Thu Oct 02 03:34:27 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeFive"
"","22336","checkRunNodeOne","Surefire suite","Thu Oct 02 03:32:23 UTC 2025","failed","Thu Oct 02 03:32:45 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeOne"
"","22395","checkRunNodeThree","Surefire suite","Thu Oct 02 03:33:12 UTC 2025","failed","Thu Oct 02 03:33:34 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeThree"
