"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30218","checkRunNodeFour","Surefire suite","Fri Aug 29 16:20:28 UTC 2025","failed","Fri Aug 29 16:20:59 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeFour"
"","16995","checkRunNodeFive","Surefire suite","Fri Aug 29 16:20:59 UTC 2025","failed","Fri Aug 29 16:21:16 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeFive"
"","16142","checkRunNodeOne","Surefire suite","Fri Aug 29 16:19:24 UTC 2025","failed","Fri Aug 29 16:19:40 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeOne"
"","16489","checkRunNodeSeven","Surefire suite","Fri Aug 29 16:21:46 UTC 2025","failed","Fri Aug 29 16:22:03 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeSeven"
"","30096","checkRunNode","Surefire suite","Fri Aug 29 16:22:03 UTC 2025","failed","Fri Aug 29 16:22:33 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNode"
"","16987","checkRunNodeThree","Surefire suite","Fri Aug 29 16:20:11 UTC 2025","failed","Fri Aug 29 16:20:28 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeThree"
"","40583","checkRunNodeZero","Surefire suite","Fri Aug 29 16:18:44 UTC 2025","failed","Fri Aug 29 16:19:24 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeZero"
"","31012","checkRunNodeTwo","Surefire suite","Fri Aug 29 16:19:40 UTC 2025","failed","Fri Aug 29 16:20:11 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeTwo"
"","16210","checkRunNodeNine","Surefire suite","Fri Aug 29 16:22:33 UTC 2025","failed","Fri Aug 29 16:22:49 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeNine"
"","30426","checkRunNodeSix","Surefire suite","Fri Aug 29 16:21:16 UTC 2025","failed","Fri Aug 29 16:21:46 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeSix"
