"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23833","checkRunNodeSix","Surefire suite","2026-08-04","failed","2026-08-04","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeSix"
"","20653","checkRunNodeOne","Surefire suite","2026-08-04","failed","2026-08-04","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeOne"
"","21059","checkRunNodeFive","Surefire suite","2026-08-04","failed","2026-08-04","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeFive"
"","23721","checkRunNode","Surefire suite","2026-08-04","failed","2026-08-04","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNode"
"","20602","checkRunNodeThree","Surefire suite","2026-08-04","failed","2026-08-04","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeThree"
"","20444","checkRunNodeNine","Surefire suite","2026-08-04","failed","2026-08-04","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeNine"
"","26766","checkRunNodeZero","Surefire suite","2026-08-04","failed","2026-08-04","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeZero"
"","24321","checkRunNodeFour","Surefire suite","2026-08-04","failed","2026-08-04","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeFour"
"","23772","checkRunNodeTwo","Surefire suite","2026-08-04","failed","2026-08-04","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeTwo"
"","20970","checkRunNodeSeven","Surefire suite","2026-08-04","failed","2026-08-04","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeSeven"
