"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16240","checkRunNodeFour","Surefire suite","Fri Mar 27 03:41:39 UTC 2026","broken","Fri Mar 27 03:41:55 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeFour"
"","15849","checkRunNodeZero","Surefire suite","Fri Mar 27 03:40:23 UTC 2026","broken","Fri Mar 27 03:40:39 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeZero"
"","23322","checkRunNodeOne","Surefire suite","Fri Mar 27 03:40:39 UTC 2026","failed","Fri Mar 27 03:41:02 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeOne"
"","20592","checkRunNodeSeven","Surefire suite","Fri Mar 27 03:42:41 UTC 2026","failed","Fri Mar 27 03:43:02 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeSeven"
"","15835","checkRunNodeNine","Surefire suite","Fri Mar 27 03:43:17 UTC 2026","failed","Fri Mar 27 03:43:33 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeNine"
"","15531","checkRunNode","Surefire suite","Fri Mar 27 03:43:02 UTC 2026","broken","Fri Mar 27 03:43:17 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNode"
"","21408","checkRunNodeThree","Surefire suite","Fri Mar 27 03:41:18 UTC 2026","failed","Fri Mar 27 03:41:39 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeThree"
"","21938","checkRunNodeFive","Surefire suite","Fri Mar 27 03:41:55 UTC 2026","failed","Fri Mar 27 03:42:17 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeFive"
"","15666","checkRunNodeTwo","Surefire suite","Fri Mar 27 03:41:02 UTC 2026","broken","Fri Mar 27 03:41:18 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeTwo"
"","23920","checkRunNodeSix","Surefire suite","Fri Mar 27 03:42:17 UTC 2026","failed","Fri Mar 27 03:42:41 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeSix"
